date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:03	25951/25951	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2023:07:04%20GMT	https://makeabilitylab.cs.washington.edu/member/meethumalu/	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/member/meethumalu/index.html	(from https://makeabilitylab.cs.washington.edu/talks/)
19:07:03	34598/34598	---M--	200	added ('OK')	image/jpeg	etag:%228726-543a4eda0f700%22	https://makeabilitylab.cs.washington.edu/media/talks/images/Hara_HCOMPGroupSight2016.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/Hara_HCOMPGroupSight2016.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
19:07:45	36799895/36799895	---M--	200	added ('OK')	application/pdf	etag:%222318597-540b86965e980%22	https://makeabilitylab.cs.washington.edu/media/talks/Technica2016_fixed_reducedsize.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Technica2016_fixed_reducedsize.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
19:07:46	19651/19651	---M--	200	added ('OK')	image/jpeg	etag:%224cc3-543a4eda0f700%22	https://makeabilitylab.cs.washington.edu/media/talks/images/Technica2016_fixed_reducedsize.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/Technica2016_fixed_reducedsize.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
19:08:21	5766363/5766363	---M--	200	added ('OK')	application/pdf	etag:%2257fcdb-5403232a88280%22	https://makeabilitylab.cs.washington.edu/media/talks/ASSETS2016_LeeStearns_HandSight_compressed.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/ASSETS2016_LeeStearns_HandSight_compressed.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
19:08:22	33610/33610	---M--	200	added ('OK')	image/jpeg	etag:%22834a-543a4e6d57680%22	https://makeabilitylab.cs.washington.edu/media/talks/images/ASSETS2016_LeeStearns_HandSight_compressed.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/ASSETS2016_LeeStearns_HandSight_compressed.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
19:09:14	81760559/81760559	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%224df912f-54032350adc80%22	https://makeabilitylab.cs.washington.edu/media/talks/stearns_assets16_v3.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/stearns_assets16_v3.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
19:09:56	6842243/6842243	---M--	200	added ('OK')	application/pdf	etag:%22686783-572efcfc30e7c%22	https://makeabilitylab.cs.washington.edu/media/talks/Clegg-Science_Everywhere-10-23-16.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Clegg-Science_Everywhere-10-23-16.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
19:09:57	52192/52192	---M--	200	added ('OK')	image/jpeg	etag:%22cbe0-572efd0e3f0ea%22	https://makeabilitylab.cs.washington.edu/media/talks/images/Clegg-Science_Everywhere-10-23-16.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/Clegg-Science_Everywhere-10-23-16.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
20:02:23	989566641/989566641	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%223afb96b1-577bae4d388f7%22	https://makeabilitylab.cs.washington.edu/media/talks/Froehlich_OverviewTalk_v3.5-PostTalkEdits_e0ck5Zc.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Froehlich_OverviewTalk_v3.5-PostTalkEdits_e0ck5Zc.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
20:03:46	13317004/13317004	---M--	200	added ('OK')	application/pdf	etag:%22cb338c-572efc65150cd%22	https://makeabilitylab.cs.washington.edu/media/talks/Clegg-Northwestern_Talk-10-9-16.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Clegg-Northwestern_Talk-10-9-16.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
20:03:47	47848/47848	---M--	200	added ('OK')	image/jpeg	etag:%22bae8-572efc6af9de3%22	https://makeabilitylab.cs.washington.edu/media/talks/images/Clegg-Northwestern_Talk-10-9-16.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/Clegg-Northwestern_Talk-10-9-16.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
20:05:51	544045875/544045875	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22206d7b33-572efd1d573cb%22	https://makeabilitylab.cs.washington.edu/media/talks/Clegg-Science_Everywhere-10-23-16.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Clegg-Science_Everywhere-10-23-16.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
